,Brand,Operating System,Ram Type,Ram Size,Disk Size,Disk Type,MRP
0,Lenovo,Windows 11,DDR4,8,256,1,36990
1,Lenovo,Windows 11,DDR4,8,512,1,39990
2,ASUS,Windows 11,DDR4,8,512,1,32989
3,HP,Windows 10,DDR4,8,512,1,49989
4,ASUS,Windows 11,DDR4,8,512,1,49989
5,HP,Windows 11,DDR4,8,256,1,36990
6,DELL,Windows 11,DDR4,8,1000,1,38989
7,others,Windows 11,DDR4,8,512,1,39990
8,others,Windows 10,DDR4,8,256,1,46989
9,ASUS,Windows 11,DDR4,16,512,1,44990
10,HP,Windows 11,DDR4,8,512,1,59990
11,Lenovo,Windows 11,DDR4,8,512,1,38705
12,ASUS,Windows 11,DDR4,8,256,1,32989
13,ASUS,Windows 11,DDR4,8,512,1,52989
14,acer,Windows 11,DDR4,8,256,1,29990
15,ASUS,Windows 11,DDR4,8,1000,1,47990
16,ASUS,Windows 11,DDR4,8,512,1,45989
17,MSI,Windows 11,DDR4,8,512,1,47990
18,ASUS,Windows 11,DDR4,16,1000,1,85990
19,APPLE,Mac,DDR4,8,256,1,88990
20,HP,Windows 11,DDR4,8,512,1,40990
21,Lenovo,DOS,DDR5,4,256,1,19489
22,Lenovo,Windows 11,DDR4,8,512,1,35589
23,HP,Windows 11,DDR4,8,512,1,65990
24,acer,Windows 11,DDR4,16,512,1,58989
25,acer,Windows 11,DDR4,8,256,1,24989
26,acer,Windows 11,DDR4,8,512,1,47990
27,ASUS,Windows 11,DDR4,8,512,1,73990
28,Lenovo,Windows 11,DDR4,8,512,1,53490
29,Lenovo,Windows 11,DDR4,8,512,1,51990
30,ASUS,Windows 11,DDR4,16,512,1,66989
31,ASUS,Windows 11,DDR5,16,1000,1,194990
32,acer,Windows 11,DDR4,16,512,1,51990
33,HP,Windows 11,DDR4,8,256,1,25989
34,acer,Windows 11,DDR4,8,512,1,35989
35,ASUS,Windows 11,DDR4,8,512,1,43989
36,Lenovo,Windows 11,DDR4,8,512,1,44990
37,Lenovo,Windows 11,DDR4,8,512,1,64490
38,ASUS,Windows 11,DDR4,8,256,1,40990
39,ASUS,Windows 11,DDR4,8,512,1,38989
40,HP,Windows 11,DDR4,8,512,1,58989
41,others,Windows 10,DDR4,8,512,1,59990
42,acer,Windows 10,DDR4,8,512,1,47990
43,HP,Windows 11,DDR4,8,512,1,37498
44,ASUS,Windows 11,DDR4,8,512,1,32989
45,ASUS,Windows 11,DDR4,4,256,1,23989
46,HP,Windows 11,DDR4,16,512,1,48990
47,APPLE,Mac,Unified,8,512,1,139990
